Loci,Mix,Rack,Treatment,Well,ID,Row,Match,Missing,Nanodrop
Pv9,mix1,R154,Internal control,1,AGP16295,A,1,1,596
Pv9,mix1,R154,Internal control,2,AGP16296,A,1,1,80
Pv9,mix1,R154,Internal control,3,AGP16297,A,1,1,106
Pv9,mix1,R154,Internal control,4,AGP07487,A,1,0,558.5
Pv9,mix1,R154,Internal control,5,AGP07488,A,1,0,460.5
Pv9,mix1,R154,Internal control,6,AGP20001,A,1,1,279
Pv9,mix1,R154,Internal control,7,AGP20002,A,1,1,318.5
Pv9,mix1,R154,Internal control,8,AGP20003,A,1,1,48.5
Pv9,mix1,R154,Internal control,9,AGP20004,A,1,1,341.5
Pv9,mix1,R154,Internal control,10,AGP20005,A,1,1,232.5
Pv9,mix1,R154,Internal control,11,AGP20006,A,1,1,198.5
Pv9,mix1,R154,Internal control,12,AGP20007,A,1,1,306.5
Pv9,mix1,R154,Internal control,13,AGP20008,B,1,1,155
Pv9,mix1,R154,Internal control,14,AGP20009,B,1,0,143
Pv9,mix1,R154,Internal control,15,AGP20010,B,1,1,226
Pv9,mix1,R154,Internal control,16,AGP20011,B,1,1,314
Pv9,mix1,R154,Internal control,17,AGP20012,B,1,1,358
Pv9,mix1,R154,Internal control,18,AGP20013,B,1,1,287
Pv9,mix1,R154,Internal control,19,AGP20014,B,1,1,482.5
Pv9,mix1,R154,Internal control,20,AGP20015,B,1,1,279.5
Pv9,mix1,R154,Internal control,21,AGP20016,B,1,1,204
Pv9,mix1,R154,Internal control,22,AGP20017,B,1,1,107.5
Pv9,mix1,R154,Internal control,23,AGP20018,B,1,1,395
Pv9,mix1,R154,Internal control,24,AGP20019,B,1,1,380.5
Pv9,mix1,R154,Internal control,25,AGP20020,C,1,1,395
Pv9,mix1,R154,Internal control,26,AGP20021,C,1,1,200
Pv9,mix1,R154,Internal control,27,AGP20022,C,1,1,340.5
Pv9,mix1,R154,Internal control,28,AGP20024,C,1,1,212.5
Pv9,mix1,R154,Internal control,29,AGP20025,C,1,1,360
Pv9,mix1,R154,Internal control,30,AGP20026,C,1,1,292
Pv9,mix1,R154,Internal control,31,AGP20027,C,1,1,78.5
Pv9,mix1,R154,Internal control,32,AGP20028,C,1,1,62.5
Pv9,mix1,R154,Internal control,33,AGP20029,C,1,1,487.5
Pv9,mix1,R154,Internal control,34,AGP20030,C,1,1,183.5
Pv9,mix1,R154,Internal control,35,AGP20031,C,1,1,200
Pv9,mix1,R154,Internal control,36,AGP20032,C,1,1,143.5
Pv9,mix1,R154,Internal control,37,AGP20033,D,1,1,405
Pv9,mix1,R154,Internal control,38,AGP20034,D,1,1,488.5
Pv9,mix1,R154,Internal control,39,AGP20035,D,1,1,87
Pv9,mix1,R154,Internal control,40,AGP20036,D,1,1,77.5
Pv9,mix1,R154,Internal control,41,AGP20038,D,1,1,157.5
Pv9,mix1,R154,Internal control,42,AGP20039,D,1,1,393.5
Pv9,mix1,R154,Internal control,43,AGP20040,D,1,1,124
Pv9,mix1,R154,Internal control,44,AGP20041,D,1,1,262
Pv9,mix1,R154,Internal control,45,AGP20042,D,1,1,207
Pv9,mix1,R154,Internal control,46,AGP20043,D,1,0,565.5
