Unscored,Mix,Rack,Percent,Loci
40,Mix5,R154_R2,21.05,Mang44
90,Mix1,R154_R4,47.37,Pv9
118,Mix1,R154_R4,62.11,Hg.6.3
94,Mix1,R154_R4,49.47,Hg.8.10
186,Mix1,R154_R4,97.89,Hg.1.3
122,Mix1,R154_R4,64.21,M11a
150,Mix1,R154_R4,78.95,PvcA
114,Mix1,R154_R4,60,Zcwb07
120,Mix2,R154_R4,63.16,OrrFCB2
54,Mix3,R154_R4,28.42,Ag1
74,Mix4,R154_R4,38.95,ZcwF07
84,Mix4,R154_R4,44.21,ZcwD02
92,Mix4,R154_R4,48.42,ZcwCgDh1
118,Mix4,R154_R4,62.11,Aa4
90,Mix4,R154_R4,47.37,ZcCgDH5.8
90,Mix4,R154_R4,47.37,Agaz3
98,Mix5,R154_R4,51.58,Mang44
94,Mix5,R155_R2,49.47,Mang44
112,Mix2,R155_R4,58.95,OrrFCB2
54,Mix3,R155_R4,28.42,Ag1
136,Mix5,R155_R4,71.58,PvcE
180,Mix5,R155_R4,94.74,Mang44
190,Mix4,R156_R2,100,ZcwF07
190,Mix4,R156_R2,100,ZcwD02
190,Mix4,R156_R2,100,ZcwCgDh1
190,Mix4,R156_R2,100,Aa4
190,Mix4,R156_R2,100,ZcCgDH5.8
190,Mix4,R156_R2,100,Agaz3
48,Mix2,R156_R4,25.26,OrrFCB2
58,Mix5,R156_R4,30.53,PvcE
162,Mix5,R156_R4,85.26,Mang44
124,Mix5,R156_R4,65.26,Mang36
